date,company,bag_status,flight
2026-09-01,Pegasus,Выдача до 30 минут,PC 1576 
2026-09-01,Ютэйр,Выдача до 30 минут,ЮТ 276 
2026-09-01,Победа,Выдача до 30 минут,ДР 116 
2026-09-01,Россия,Выдача до 30 минут,ФВ 6175 
2026-09-01,Ютэйр,Выдача до 30 минут,ЮТ 374 
2026-09-01,FLYONE Armenia,Выдача до 30 минут,3F 325 
2026-09-01,Ютэйр,Выдача от 30 до 40 минут,ЮТ 746 
2026-09-01,АЗУР эйр,Выдача до 30 минут,AZV 3014 
2026-09-01,Ютэйр,Выдача более 40 минут,ЮТ 744 
2026-09-01,Победа,Выдача до 30 минут,PBD 840 
2026-09-01,Северо-Запад,Выдача до 30 минут,НВЦ 9152 
2026-09-01,Ютэйр,Выдача до 30 минут,ЮТ 456 
2026-09-01,Россия,Выдача до 30 минут,ФВ 6177 
2026-09-01,Победа,Выдача до 30 минут,ДР 404 
2026-09-01,Победа,Выдача до 30 минут,ДР 856 
2026-09-01,Победа,Выдача до 30 минут,ДР 466 
2026-09-01,Азимут,Выдача до 30 минут,А4 7010 
2026-09-01,GEORGIAN AIRWAYS,Выдача до 30 минут,ЖГ 926 
2026-09-01,Turkish Airlines,Выдача до 30 минут,TK 3012 
2026-09-01,GEORGIAN AIRWAYS,Выдача до 30 минут,ЖГ 936 
2026-09-01,Shirak Avia,Выдача до 30 минут,ЮБГ 509 
2026-09-01,FLYONE Armenia,Выдача до 30 минут,УР 412 
2026-09-01,Победа,Выдача до 30 минут,ДР 114 
2026-09-01,GEORGIAN AIRWAYS,Выдача до 30 минут,ЖГ 937 
2026-09-01,Алроса,Выдача до 30 минут,ЯМ 543 
2026-09-01,Ютэйр,Выдача до 30 минут,ЮТ 464 
2026-09-01,Turkish Airlines,Выдача до 30 минут,TK 3070 
2026-09-01,Turkish Airlines,Выдача до 30 минут,TK 415 
2026-09-01,Turkish Airlines,Выдача до 30 минут,TK 417 
2026-09-01,flydubai,Выдача от 30 до 40 минут,FZ 989 
