date,flight,type,route,mc,lent_num,arrive_runway,bag_waight,mc_arrive,hatch_open,err_hatch_open,beg_unload_spo,end_unload_spo,beg_unload_sobgp,end_unload_sobgp,end_unload_tgo,err_end_unload,violation_standart,time_beg_lenta,time_end_lenta,violation_first_bag,violation_last_bag,deliver_1_beg,deliver_1_end,deliver_2_beg,deliver_2_end,deliver_3_beg,deliver_3_end,senior_loader,company,bag_status
2026-06-08,ДР 198 ,73Х,ВЛАДИКАВКАЗ(БЕСЛАН),47,Y(А05),00:36,331,2026-06-08 00:47:00,2026-06-08 00:50:00,,2026-06-08 00:50:00,2026-06-08 00:54:00,2026-06-08 00:50:00,2026-06-08 00:54:00,2026-06-08 00:53:00,1.0,2.0,2026-06-08 01:03:00,2026-06-08 01:05:00,,0.0,2026-06-08 00:57:00,2026-06-08 01:02:00,,,,,Барабанов А. М.,Победа,Выдача до 30 минут
2026-06-08,TK 421 ,333,СТАМБУЛ(СТАМБУЛ НЬЮ),22,Y(А09),00:39,3401,2026-06-08 00:55:00,2026-06-08 00:59:00,1.0,2026-06-08 00:58:00,2026-06-08 01:09:00,2026-06-08 00:58:00,2026-06-08 01:09:00,2026-06-08 01:22:00,,,2026-06-08 01:12:00,2026-06-08 01:17:00,,0.0,2026-06-08 00:58:00,2026-06-08 02:21:00,2026-06-08 00:46:00,2026-06-08 01:16:00,,,Литвин И. С.,Turkish Airlines,Выдача до 30 минут
2026-06-08,FZ 987 ,7М8,ДУБАЙ(ДУБАЙ ИНТЛ.),29,Y(А13),00:42,1120,2026-06-08 01:09:00,2026-06-08 01:11:00,,2026-06-08 01:14:00,2026-06-08 01:30:00,2026-06-08 01:29:00,2026-06-08 01:30:00,2026-06-08 01:20:00,10.0,,2026-06-08 01:24:00,2026-06-08 01:30:00,,0.0,2026-06-08 01:20:00,2026-06-08 01:23:00,,,,,"Аристархов Н. В., Иванов В. А.",flydubai,Выдача до 30 минут
2026-06-08,ДР 1264 ,7С8,КАЛИНИНГРАД(ХРАБРОВО),48,Y(А07),00:50,349,-1,,,2026-06-08 01:06:00,2026-06-08 01:12:00,2026-06-08 01:06:00,2026-06-08 01:12:00,,,4.0,2026-06-08 01:16:00,2026-06-08 01:17:00,,0.0,2026-06-08 01:11:00,2026-06-08 01:18:00,,,,,Тришкин А. В.,Победа,Некорректно проставлены отметки
2026-06-08,ЮТ 376 ,73Е,СЫКТЫВКАР,10,Y(А04),00:52,337,2026-06-08 01:01:00,2026-06-08 01:03:00,,2026-06-08 01:04:00,2026-06-08 01:08:00,2026-06-08 01:04:00,2026-06-08 01:08:00,2026-06-08 01:07:00,1.0,2.0,2026-06-08 01:11:00,2026-06-08 01:13:00,,0.0,2026-06-08 01:08:00,2026-06-08 01:10:00,,,,,Екимов С. С.,Ютэйр,Выдача до 30 минут
2026-06-08,AZO 7008 ,СУ9,ТБИЛИСИ(ТБИЛИСИ ИНТЛ.),28,Y(А11),00:58,911,2026-06-08 01:08:00,2026-06-08 01:09:00,,2026-06-08 01:12:00,2026-06-08 01:22:00,2026-06-08 01:12:00,2026-06-08 01:22:00,2026-06-08 01:18:00,4.0,4.0,2026-06-08 01:26:00,2026-06-08 01:27:00,,0.0,2026-06-08 00:56:00,2026-06-08 01:27:00,,,,,Кейта А. С.,GEORGIAN AIRWAYS,Выдача до 30 минут
2026-06-08,ЖГ 932 ,73Х,ТБИЛИСИ(ТБИЛИСИ ИНТЛ.),30,Y(А12),01:06,2260,2026-06-08 01:14:00,2026-06-08 01:17:00,,2026-06-08 01:17:00,2026-06-08 01:32:00,2026-06-08 01:17:00,2026-06-08 01:32:00,2026-06-08 01:33:00,,,2026-06-08 01:26:00,2026-06-08 01:38:00,,0.0,2026-06-08 01:22:00,2026-06-08 01:26:00,2026-06-08 01:33:00,2026-06-08 01:38:00,,,Вазиров Т. В.,GEORGIAN AIRWAYS,Выдача до 30 минут
2026-06-08,ФВ 6161 ,СУ9,САНКТ-ПЕТЕРБУРГ(ПУЛКОВО),9,Y(А04),01:10,107,2026-06-08 01:23:00,2026-06-08 01:25:00,,2026-06-08 01:28:00,2026-06-08 01:30:00,2026-06-08 01:28:00,2026-06-08 01:30:00,2026-06-08 01:28:00,2.0,1.0,2026-06-08 01:33:00,2026-06-08 01:34:00,,0.0,2026-06-08 01:30:00,2026-06-08 01:32:00,,,,,Соколов И. С.,Россия,Выдача до 30 минут
2026-06-08,TK 3154 ,321,БОДРУМ(МИЛАС),18,Y(А09),01:13,2098,2026-06-08 01:25:00,2026-06-08 01:29:00,1.0,2026-06-08 01:33:00,2026-06-08 01:48:00,2026-06-08 01:33:00,2026-06-08 01:48:00,2026-06-08 01:43:00,5.0,1.0,2026-06-08 01:47:00,2026-06-08 01:54:00,2.0,0.0,2026-06-08 01:42:00,2026-06-08 01:53:00,,,,,Барабанов А. М.,Turkish Airlines,Выдача до 30 минут
2026-06-08,PC 1521 ,320,ИЗМИР(АДНАН МЕНДЕРЕС),19,Y(А13),01:16,1946,2026-06-08 01:25:00,2026-06-08 01:26:00,,2026-06-08 01:28:00,2026-06-08 01:45:00,2026-06-08 01:28:00,2026-06-08 01:45:00,2026-06-08 01:42:00,3.0,4.0,2026-06-08 01:40:00,2026-06-08 01:52:00,,0.0,2026-06-08 01:36:00,2026-06-08 01:41:00,2026-06-08 01:47:00,2026-06-08 01:52:00,,,Коляскин А. Г.,Pegasus,Выдача до 30 минут
2026-06-08,TK 3084 ,321,ДАЛАМАН,24,Y(А11),01:22,1066,2026-06-08 01:32:00,2026-06-08 01:34:00,,2026-06-08 01:35:00,2026-06-08 01:38:00,2026-06-08 01:35:00,2026-06-08 01:38:00,2026-06-08 01:43:00,,,2026-06-08 01:44:00,2026-06-08 01:45:00,,0.0,2026-06-08 01:38:00,2026-06-08 01:52:00,,,,,Демчук Д. П.,Turkish Airlines,Выдача до 30 минут
